,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName
0,21001A041,VEEWEYDE-SUD,0,0,1,female
1,21001A041,VEEWEYDE-SUD,1,0,1,female
2,21001A041,VEEWEYDE-SUD,2,0,1,female
3,21001A041,VEEWEYDE-SUD,3,0,1,female
4,21001A041,VEEWEYDE-SUD,4,0,1,female
5,21001A041,VEEWEYDE-SUD,5,0,1,female
6,21001A041,VEEWEYDE-SUD,6,0,1,female
7,21001A041,VEEWEYDE-SUD,7,0,1,female
8,21001A041,VEEWEYDE-SUD,8,0,1,female
9,21001A041,VEEWEYDE-SUD,9,0,1,female
10,21001A041,VEEWEYDE-SUD,10,0,1,female
11,21001A041,VEEWEYDE-SUD,11,0,1,female
12,21001A041,VEEWEYDE-SUD,12,0,1,female
13,21001A041,VEEWEYDE-SUD,13,0,1,female
14,21001A041,VEEWEYDE-SUD,14,0,1,female
15,21001A041,VEEWEYDE-SUD,15,0,1,female
16,21001A041,VEEWEYDE-SUD,16,0,1,female
17,21001A041,VEEWEYDE-SUD,17,0,1,female
18,21001A041,VEEWEYDE-SUD,18,0,1,female
19,21001A041,VEEWEYDE-SUD,19,0,1,female
20,21001A041,VEEWEYDE-SUD,20,0,1,female
21,21001A041,VEEWEYDE-SUD,21,1,1,female
22,21001A041,VEEWEYDE-SUD,22,1,1,female
23,21001A041,VEEWEYDE-SUD,23,1,1,female
24,21001A041,VEEWEYDE-SUD,24,1,1,female
25,21001A041,VEEWEYDE-SUD,25,1,1,female
26,21001A041,VEEWEYDE-SUD,26,1,1,female
27,21001A041,VEEWEYDE-SUD,27,1,1,female
28,21001A041,VEEWEYDE-SUD,28,1,1,female
29,21001A041,VEEWEYDE-SUD,29,1,1,female
30,21001A041,VEEWEYDE-SUD,30,1,1,female
31,21001A041,VEEWEYDE-SUD,31,1,1,female
32,21001A041,VEEWEYDE-SUD,32,1,1,female
33,21001A041,VEEWEYDE-SUD,33,1,1,female
34,21001A041,VEEWEYDE-SUD,34,1,1,female
35,21001A041,VEEWEYDE-SUD,35,1,1,female
36,21001A041,VEEWEYDE-SUD,36,1,1,female
37,21001A041,VEEWEYDE-SUD,37,1,1,female
38,21001A041,VEEWEYDE-SUD,38,1,1,female
39,21001A041,VEEWEYDE-SUD,39,1,1,female
40,21001A041,VEEWEYDE-SUD,40,1,1,female
41,21001A041,VEEWEYDE-SUD,41,1,1,female
42,21001A041,VEEWEYDE-SUD,42,2,1,female
43,21001A041,VEEWEYDE-SUD,43,2,1,female
44,21001A041,VEEWEYDE-SUD,44,2,1,female
45,21001A041,VEEWEYDE-SUD,45,2,1,female
46,21001A041,VEEWEYDE-SUD,46,2,1,female
47,21001A041,VEEWEYDE-SUD,47,2,1,female
48,21001A041,VEEWEYDE-SUD,48,2,1,female
49,21001A041,VEEWEYDE-SUD,49,2,1,female
50,21001A041,VEEWEYDE-SUD,50,2,1,female
51,21001A041,VEEWEYDE-SUD,51,2,1,female
52,21001A041,VEEWEYDE-SUD,52,2,1,female
53,21001A041,VEEWEYDE-SUD,53,2,1,female
54,21001A041,VEEWEYDE-SUD,54,2,1,female
55,21001A041,VEEWEYDE-SUD,55,2,1,female
56,21001A041,VEEWEYDE-SUD,56,2,1,female
57,21001A041,VEEWEYDE-SUD,57,2,1,female
58,21001A041,VEEWEYDE-SUD,58,2,1,female
59,21001A041,VEEWEYDE-SUD,59,2,1,female
60,21001A041,VEEWEYDE-SUD,60,2,1,female
61,21001A041,VEEWEYDE-SUD,61,2,1,female
62,21001A041,VEEWEYDE-SUD,62,2,1,female
63,21001A041,VEEWEYDE-SUD,63,3,1,female
64,21001A041,VEEWEYDE-SUD,64,3,1,female
65,21001A041,VEEWEYDE-SUD,65,3,1,female
66,21001A041,VEEWEYDE-SUD,66,3,1,female
67,21001A041,VEEWEYDE-SUD,67,3,1,female
68,21001A041,VEEWEYDE-SUD,68,3,1,female
69,21001A041,VEEWEYDE-SUD,69,3,1,female
70,21001A041,VEEWEYDE-SUD,70,3,1,female
71,21001A041,VEEWEYDE-SUD,71,3,1,female
72,21001A041,VEEWEYDE-SUD,72,3,1,female
73,21001A041,VEEWEYDE-SUD,73,3,1,female
74,21001A041,VEEWEYDE-SUD,74,3,1,female
75,21001A041,VEEWEYDE-SUD,75,3,1,female
76,21001A041,VEEWEYDE-SUD,76,3,1,female
77,21001A041,VEEWEYDE-SUD,77,3,1,female
78,21001A041,VEEWEYDE-SUD,78,3,1,female
79,21001A041,VEEWEYDE-SUD,79,3,1,female
80,21001A041,VEEWEYDE-SUD,80,3,1,female
81,21001A041,VEEWEYDE-SUD,81,3,1,female
82,21001A041,VEEWEYDE-SUD,82,3,1,female
