,Unnamed: 0,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseHorldTypeName
0,0,21001A041,VEEWEYDE-SUD,0,104,1,female,parent,0,2,couple_no_child
1,1,21001A041,VEEWEYDE-SUD,1,94,0,male,parent,0,2,couple_no_child
2,2,21001A041,VEEWEYDE-SUD,2,104,1,female,parent,1,3,single
3,3,21001A041,VEEWEYDE-SUD,3,104,1,female,parent,2,3,single
4,4,21001A041,VEEWEYDE-SUD,4,103,1,female,parent,3,2,couple_no_child
5,5,21001A041,VEEWEYDE-SUD,5,93,0,male,parent,3,2,couple_no_child
6,6,21001A041,VEEWEYDE-SUD,6,103,1,female,parent,4,3,single
7,7,21001A041,VEEWEYDE-SUD,7,103,1,female,parent,5,3,single
8,8,21001A041,VEEWEYDE-SUD,8,102,1,female,parent,6,2,couple_no_child
9,9,21001A041,VEEWEYDE-SUD,9,92,0,male,parent,6,2,couple_no_child
10,10,21001A041,VEEWEYDE-SUD,10,102,1,female,parent,7,3,single
11,11,21001A041,VEEWEYDE-SUD,11,102,1,female,parent,8,3,single
12,12,21001A041,VEEWEYDE-SUD,12,101,1,female,parent,9,2,couple_no_child
13,13,21001A041,VEEWEYDE-SUD,13,91,0,male,parent,9,2,couple_no_child
14,14,21001A041,VEEWEYDE-SUD,14,101,1,female,parent,10,3,single
15,15,21001A041,VEEWEYDE-SUD,15,101,1,female,parent,11,3,single
16,16,21001A041,VEEWEYDE-SUD,16,100,1,female,parent,12,2,couple_no_child
17,17,21001A041,VEEWEYDE-SUD,17,90,0,male,parent,12,2,couple_no_child
18,18,21001A041,VEEWEYDE-SUD,18,100,1,female,parent,13,3,single
19,19,21001A041,VEEWEYDE-SUD,19,100,1,female,parent,14,3,single
20,20,21001A041,VEEWEYDE-SUD,20,99,1,female,parent,15,2,couple_no_child
21,21,21001A041,VEEWEYDE-SUD,21,89,0,male,parent,15,2,couple_no_child
22,22,21001A041,VEEWEYDE-SUD,22,99,1,female,parent,16,3,single
23,23,21001A041,VEEWEYDE-SUD,23,99,1,female,parent,17,3,single
24,24,21001A041,VEEWEYDE-SUD,24,98,1,female,parent,18,2,couple_no_child
25,25,21001A041,VEEWEYDE-SUD,25,89,0,male,parent,18,2,couple_no_child
26,26,21001A041,VEEWEYDE-SUD,26,98,1,female,parent,19,3,single
27,27,21001A041,VEEWEYDE-SUD,27,98,1,female,parent,20,3,single
28,28,21001A041,VEEWEYDE-SUD,28,97,1,female,parent,21,2,couple_no_child
29,29,21001A041,VEEWEYDE-SUD,29,88,0,male,parent,21,2,couple_no_child
30,30,21001A041,VEEWEYDE-SUD,30,97,1,female,parent,22,3,single
31,31,21001A041,VEEWEYDE-SUD,31,97,1,female,parent,23,3,single
32,32,21001A041,VEEWEYDE-SUD,32,96,1,female,parent,24,2,couple_no_child
33,33,21001A041,VEEWEYDE-SUD,33,88,0,male,parent,24,2,couple_no_child
34,34,21001A041,VEEWEYDE-SUD,34,96,1,female,parent,25,3,single
35,35,21001A041,VEEWEYDE-SUD,35,96,1,female,parent,26,3,single
36,36,21001A041,VEEWEYDE-SUD,36,95,1,female,parent,27,2,couple_no_child
37,37,21001A041,VEEWEYDE-SUD,37,87,0,male,parent,27,2,couple_no_child
38,38,21001A041,VEEWEYDE-SUD,38,95,1,female,parent,28,3,single
39,39,21001A041,VEEWEYDE-SUD,39,95,1,female,parent,29,3,single
40,40,21001A041,VEEWEYDE-SUD,40,94,1,female,parent,30,2,couple_no_child
41,41,21001A041,VEEWEYDE-SUD,41,87,0,male,parent,30,2,couple_no_child
42,42,21001A041,VEEWEYDE-SUD,42,94,1,female,parent,31,3,single
43,43,21001A041,VEEWEYDE-SUD,43,94,1,female,parent,32,3,single
