,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21001A041,VEEWEYDE-SUD,771,0,1,female,child,356,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
1,21001A041,VEEWEYDE-SUD,863,0,1,female,child,391,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
2,21001A041,VEEWEYDE-SUD,898,0,0,male,child,406,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
3,21001A041,VEEWEYDE-SUD,915,0,1,female,child,411,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
4,21001A041,VEEWEYDE-SUD,944,0,1,female,child,424,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
5,21001A041,VEEWEYDE-SUD,999,0,0,male,child,443,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
6,21001A041,VEEWEYDE-SUD,1298,0,0,male,child,553,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
7,21001A041,VEEWEYDE-SUD,1345,0,0,male,child,571,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
8,21001A041,VEEWEYDE-SUD,1520,0,1,female,child,640,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
9,21001A041,VEEWEYDE-SUD,1521,0,0,male,child,640,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
10,21001A041,VEEWEYDE-SUD,1525,0,0,male,child,641,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
11,21001A041,VEEWEYDE-SUD,1584,0,0,male,child,663,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
12,21001A041,VEEWEYDE-SUD,1659,0,1,female,child,693,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
13,21001A041,VEEWEYDE-SUD,1683,0,0,male,child,699,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
14,21001A041,VEEWEYDE-SUD,1709,0,1,female,child,711,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
15,21001A041,VEEWEYDE-SUD,1713,0,0,male,child,712,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
16,21001A041,VEEWEYDE-SUD,1715,0,1,female,child,712,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
17,21001A041,VEEWEYDE-SUD,1731,0,1,female,child,716,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
18,21001A041,VEEWEYDE-SUD,1756,0,0,male,child,728,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
19,21001A041,VEEWEYDE-SUD,1807,0,0,male,child,743,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
20,21001A041,VEEWEYDE-SUD,1811,0,0,male,child,744,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
21,21001A041,VEEWEYDE-SUD,1816,0,1,female,child,745,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
22,21001A041,VEEWEYDE-SUD,1821,0,1,female,child,746,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
23,21001A041,VEEWEYDE-SUD,1852,0,1,female,child,756,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
24,21001A041,VEEWEYDE-SUD,1856,0,1,female,child,757,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
25,21001A041,VEEWEYDE-SUD,1926,0,0,male,child,777,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
26,21001A041,VEEWEYDE-SUD,1955,0,0,male,child,787,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
27,21001A041,VEEWEYDE-SUD,1982,0,0,male,child,797,4,single_with_child,0,Creche,21001A041,VEEWEYDE-SUD
28,21001A041,VEEWEYDE-SUD,2003,0,1,female,child,803,1,couple_with_child,0,Creche,21001A041,VEEWEYDE-SUD
