,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType
0,21001A041,VEEWEYDE-SUD,2809,12,0,male,parent,281,1,couple_with_child,2,Primaires
1,21001A041,VEEWEYDE-SUD,843,12,0,male,child,386,1,couple_with_child,2,Primaires
2,21001A041,VEEWEYDE-SUD,1220,12,0,male,child,529,4,single_with_child,2,Primaires
3,21001A472,STADE COMMUNAL - INDUSTRIE,3350,12,0,male,child,1645,1,couple_with_child,2,Primaires
4,21001A83-,PETERBOS,5895,12,0,male,child,3016,1,couple_with_child,2,Primaires
5,21001A83-,PETERBOS,5908,12,0,male,child,3019,1,couple_with_child,2,Primaires
6,21001A83-,PETERBOS,5977,12,0,male,child,3046,1,couple_with_child,2,Primaires
7,21001A503,VIVES,8346,12,0,male,child,4545,1,couple_with_child,2,Primaires
8,21001A332,ROUE,9460,12,0,male,child,5220,1,couple_with_child,2,Primaires
9,21001A43-,VAN BEETHOVEN,11084,12,0,male,child,6038,1,couple_with_child,2,Primaires
10,21001A401,ARBORETUM,12374,12,0,male,child,6780,1,couple_with_child,2,Primaires
11,21001A32-,AURORE,16913,12,0,male,child,9189,4,single_with_child,2,Primaires
12,21001A32-,AURORE,17316,12,0,male,parent,8514,1,couple_with_child,2,Primaires
13,21001A32-,AURORE,15611,12,0,male,child,8413,1,couple_with_child,2,Primaires
14,21001A32-,AURORE,17311,12,0,male,parent,8538,1,couple_with_child,2,Primaires
15,21001A41-,ROMAIN ROLLAND,18626,12,0,male,child,10168,1,couple_with_child,2,Primaires
16,21001A41-,ROMAIN ROLLAND,18846,12,0,male,child,10265,1,couple_with_child,2,Primaires
17,21001A85-,AUBADE,20658,12,0,male,child,11254,1,couple_with_child,2,Primaires
18,21001A51-,SCHERDEMAEL,22151,12,0,male,child,12136,4,single_with_child,2,Primaires
19,21001A42-,KAT,23080,12,0,male,child,12736,1,couple_with_child,2,Primaires
20,21001A552,TREFLE,25864,12,0,male,child,14132,1,couple_with_child,2,Primaires
21,21001A552,TREFLE,24824,12,0,male,child,13748,1,couple_with_child,2,Primaires
22,21001A84-,POESIE,28394,12,0,male,parent,15291,1,couple_with_child,2,Primaires
23,21001A34-,ROUE - CITE JARDIN,30757,12,0,male,parent,16100,1,couple_with_child,2,Primaires
24,21001A34-,ROUE - CITE JARDIN,30754,12,0,male,parent,15948,1,couple_with_child,2,Primaires
25,21001A350,CERIA - ZONE D'HABITAT,31109,12,0,male,child,16927,1,couple_with_child,2,Primaires
26,21001A441,DOCTEUR ROUX,34528,12,0,male,parent,17804,1,couple_with_child,2,Primaires
27,21001A441,DOCTEUR ROUX,32947,12,0,male,child,17883,1,couple_with_child,2,Primaires
28,21001C512,CHANTS D'OISEAUX,36211,12,0,male,parent,19146,1,couple_with_child,2,Primaires
29,21001C71-,BON AIR - CITE JARDIN,37727,12,0,male,parent,19961,4,single_with_child,2,Primaires
30,21001A82-,MOORTEBEEK,38843,12,0,male,child,21211,4,single_with_child,2,Primaires
31,21001A82-,MOORTEBEEK,39732,12,0,male,parent,21102,1,couple_with_child,2,Primaires
32,21001C611,SOETKIN,40365,12,0,male,parent,21986,1,couple_with_child,2,Primaires
33,21001A451,VENIZELOS,41333,12,0,male,child,22745,1,couple_with_child,2,Primaires
34,21001A451,VENIZELOS,42348,12,0,male,parent,22600,4,single_with_child,2,Primaires
35,21001A30-,BIZET,45251,12,0,male,parent,23653,1,couple_with_child,2,Primaires
36,21001A30-,BIZET,43560,12,0,male,child,23777,1,couple_with_child,2,Primaires
37,21001A30-,BIZET,45253,12,0,male,parent,23834,4,single_with_child,2,Primaires
38,21001A80-,SILLON,45949,12,0,male,child,25299,1,couple_with_child,2,Primaires
39,21001A80-,SILLON,45868,12,0,male,child,25261,4,single_with_child,2,Primaires
40,21001A80-,SILLON,45899,12,0,male,child,25278,1,couple_with_child,2,Primaires
41,21001A81-,BROECK,48912,12,0,male,child,26950,1,couple_with_child,2,Primaires
42,21001A81-,BROECK,50547,12,0,male,parent,27164,4,single_with_child,2,Primaires
43,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51464,12,0,male,parent,28024,4,single_with_child,2,Primaires
44,21001A031,RAUTER-SUD,53502,12,0,male,parent,28743,1,couple_with_child,2,Primaires
45,21001A031,RAUTER-SUD,52615,12,0,male,child,28812,1,couple_with_child,2,Primaires
46,21001B22-,BROGNIEZ-SUD,54572,12,0,male,child,29937,4,single_with_child,2,Primaires
47,21001B321,ALBERT I- QUARTIER,55795,12,0,male,child,30512,1,couple_with_child,2,Primaires
48,21001B321,ALBERT I- QUARTIER,55980,12,0,male,child,30574,1,couple_with_child,2,Primaires
49,21001B20-,CONSEIL-NORD,62481,12,0,male,parent,32534,4,single_with_child,2,Primaires
50,21001B20-,CONSEIL-NORD,58115,12,0,male,child,31674,1,couple_with_child,2,Primaires
51,21001B20-,CONSEIL-NORD,62476,12,0,male,parent,32117,1,couple_with_child,2,Primaires
52,21001B20-,CONSEIL-NORD,62499,12,0,male,parent,31593,1,couple_with_child,2,Primaires
53,21001B20-,CONSEIL-NORD,62485,12,0,male,parent,31686,1,couple_with_child,2,Primaires
54,21001B20-,CONSEIL-NORD,59711,12,0,male,child,32202,1,couple_with_child,2,Primaires
55,21001B23-,CONSEIL-SUD,62991,12,0,male,child,34164,1,couple_with_child,2,Primaires
56,21001B23-,CONSEIL-SUD,64180,12,0,male,parent,34107,1,couple_with_child,2,Primaires
57,21001A142,VEEWEYDE-NORD,64757,12,0,male,child,35168,1,couple_with_child,2,Primaires
58,21001A051,LINDE-EST,67092,12,0,male,parent,35930,1,couple_with_child,2,Primaires
59,21001A941,CROCUS,68342,12,0,male,child,36978,4,single_with_child,2,Primaires
60,21001A941,CROCUS,68534,12,0,male,child,37046,1,couple_with_child,2,Primaires
61,21001A90-,SCHEUTKAPEL,71294,12,0,male,child,38468,1,couple_with_child,2,Primaires
62,21001A90-,SCHEUTKAPEL,70879,12,0,male,child,38300,1,couple_with_child,2,Primaires
63,21001A132,RAUTER-NORD,72900,12,0,male,child,39413,1,couple_with_child,2,Primaires
64,21001B31-,ALBERT I- IMMEUBLES,74294,12,0,male,parent,39878,1,couple_with_child,2,Primaires
65,21001B25-,REVISION-NORD,75728,12,0,male,child,40828,1,couple_with_child,2,Primaires
66,21001B25-,REVISION-NORD,76222,12,0,male,child,40991,1,couple_with_child,2,Primaires
67,21001B25-,REVISION-NORD,76059,12,0,male,child,40938,1,couple_with_child,2,Primaires
68,21001B25-,REVISION-NORD,75703,12,0,male,child,40816,1,couple_with_child,2,Primaires
69,21001B11-,ROSEE-OUEST,79169,12,0,male,parent,42337,1,couple_with_child,2,Primaires
70,21001A72-,OSSEGEM,81157,12,0,male,child,43641,1,couple_with_child,2,Primaires
71,21001A72-,OSSEGEM,80875,12,0,male,child,43528,1,couple_with_child,2,Primaires
72,21001A72-,OSSEGEM,81308,12,0,male,child,43699,4,single_with_child,2,Primaires
73,21001A011,KLEINMOLEN,84337,12,0,male,child,45224,1,couple_with_child,2,Primaires
74,21001A011,KLEINMOLEN,83391,12,0,male,child,44897,1,couple_with_child,2,Primaires
75,21001A011,KLEINMOLEN,83888,12,0,male,child,45069,1,couple_with_child,2,Primaires
76,21001B17-,ABATTOIR,86294,12,0,male,child,46480,1,couple_with_child,2,Primaires
77,21001A712,SCHEUT - DE SMET,87637,12,0,male,child,47114,4,single_with_child,2,Primaires
78,21001B21-,BROGNIEZ-NORD,92105,12,0,male,parent,48441,4,single_with_child,2,Primaires
79,21001B21-,BROGNIEZ-NORD,92106,12,0,male,parent,48287,1,couple_with_child,2,Primaires
80,21001B21-,BROGNIEZ-NORD,90090,12,0,male,child,48251,1,couple_with_child,2,Primaires
81,21001B21-,BROGNIEZ-NORD,92102,12,0,male,parent,48516,1,couple_with_child,2,Primaires
82,21001A911,SCHEUT-EST,93111,12,0,male,child,49946,1,couple_with_child,2,Primaires
83,21001A911,SCHEUT-EST,93010,12,0,male,child,49911,1,couple_with_child,2,Primaires
84,21001A931,AGRAFE-NORBERT GILLE,95391,12,0,male,child,50966,1,couple_with_child,2,Primaires
85,21001A931,AGRAFE-NORBERT GILLE,94854,12,0,male,child,50815,1,couple_with_child,2,Primaires
86,21001A74-,SCHEUT-OUEST,97866,12,0,male,child,52108,1,couple_with_child,2,Primaires
87,21001A74-,SCHEUT-OUEST,97846,12,0,male,child,52103,1,couple_with_child,2,Primaires
88,21001A74-,SCHEUT-OUEST,96924,12,0,male,child,51850,1,couple_with_child,2,Primaires
89,21001A92-,JAKOB SMITS,103010,12,0,male,parent,53437,1,couple_with_child,2,Primaires
90,21001A92-,JAKOB SMITS,101596,12,0,male,child,53900,1,couple_with_child,2,Primaires
91,21001A92-,JAKOB SMITS,103013,12,0,male,parent,53876,1,couple_with_child,2,Primaires
92,21001A00-,RESISTANCE,105944,12,0,male,parent,55988,4,single_with_child,2,Primaires
93,21001A00-,RESISTANCE,103991,12,0,male,child,55198,1,couple_with_child,2,Primaires
94,21001A00-,RESISTANCE,103572,12,0,male,child,55046,4,single_with_child,2,Primaires
95,21001A95-,BUFFON,106719,12,0,male,child,56698,1,couple_with_child,2,Primaires
96,21001A95-,BUFFON,109372,12,0,male,parent,57001,1,couple_with_child,2,Primaires
97,21001A95-,BUFFON,109375,12,0,male,parent,57265,1,couple_with_child,2,Primaires
98,21001B10-,ROSEE-EST,112104,12,0,male,parent,58279,1,couple_with_child,2,Primaires
99,21001B10-,ROSEE-EST,110010,12,0,male,child,58141,1,couple_with_child,2,Primaires
100,21001B10-,ROSEE-EST,112105,12,0,male,parent,58572,4,single_with_child,2,Primaires
101,21001B332,GOUJONS,113358,12,0,male,parent,59486,4,single_with_child,2,Primaires
102,21001B241,REVISION-SUD,115097,12,0,male,child,60822,4,single_with_child,2,Primaires
103,21001B241,REVISION-SUD,114053,12,0,male,child,60288,1,couple_with_child,2,Primaires
104,21001A10-,PORSELEIN,116685,12,0,male,parent,61337,4,single_with_child,2,Primaires
105,21001A120,MINIMES,120253,12,0,male,parent,62417,1,couple_with_child,2,Primaires
106,21001A120,MINIMES,117547,12,0,male,child,62115,1,couple_with_child,2,Primaires
107,21001A120,MINIMES,118412,12,0,male,child,62446,1,couple_with_child,2,Primaires
108,21001A152,LINDE-OUEST,121757,12,0,male,parent,63940,1,couple_with_child,2,Primaires
109,21001A02-,WAYEZ,122224,12,0,male,child,64475,1,couple_with_child,2,Primaires
110,21001A112,BIESTEBROEK,124104,12,0,male,child,65423,4,single_with_child,2,Primaires
111,21001A112,BIESTEBROEK,125868,12,0,male,parent,65699,1,couple_with_child,2,Primaires
112,21001A112,BIESTEBROEK,125865,12,0,male,parent,65550,1,couple_with_child,2,Primaires
113,21002A511,INVALIDES (BOULEVARD DES),129147,12,0,male,child,68306,4,single_with_child,2,Primaires
