,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,21001A041,VEEWEYDE-SUD,1440,19,0,male,child,608,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1,21001A041,VEEWEYDE-SUD,687,19,0,male,child,330,4,single_with_child,21001A041,Anderlecht,3,Secondaires
2,21001A041,VEEWEYDE-SUD,1232,19,0,male,child,532,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
3,21001A041,VEEWEYDE-SUD,193,19,0,male,child,126,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
4,21001A472,STADE COMMUNAL - INDUSTRIE,3129,19,0,male,child,1554,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
5,21001A83-,PETERBOS,4879,19,0,male,child,2578,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
6,21001A83-,PETERBOS,4669,19,0,male,child,2486,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
7,21001A83-,PETERBOS,5521,19,0,male,child,2858,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
8,21001A83-,PETERBOS,5589,19,0,male,child,2884,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
9,21001A503,VIVES,7992,19,0,male,child,4365,1,couple_with_child,21001A503,Anderlecht,3,Secondaires
10,21001A503,VIVES,7801,19,0,male,child,4270,1,couple_with_child,21001A503,Anderlecht,3,Secondaires
11,21001A332,ROUE,9557,19,0,male,child,5254,1,couple_with_child,21001A332,Anderlecht,3,Secondaires
12,21001A332,ROUE,9438,19,0,male,child,5212,1,couple_with_child,21001A332,Anderlecht,3,Secondaires
13,21001A43-,VAN BEETHOVEN,10918,19,0,male,child,5973,1,couple_with_child,21001A43-,Anderlecht,3,Secondaires
14,21001A43-,VAN BEETHOVEN,10930,19,0,male,child,5979,4,single_with_child,21001A43-,Anderlecht,3,Secondaires
15,21001A401,ARBORETUM,12129,19,0,male,child,6669,1,couple_with_child,21001A401,Anderlecht,3,Secondaires
16,21001A32-,AURORE,14785,19,0,male,child,8049,1,couple_with_child,21001A32-,Anderlecht,3,Secondaires
17,21001A32-,AURORE,14379,19,0,male,child,7881,4,single_with_child,21001A32-,Anderlecht,3,Secondaires
18,21001A32-,AURORE,14524,19,0,male,child,7943,4,single_with_child,21001A32-,Anderlecht,3,Secondaires
19,21001A32-,AURORE,14407,19,0,male,child,7889,1,couple_with_child,21001A32-,Anderlecht,3,Secondaires
20,21001A32-,AURORE,14684,19,0,male,child,8009,1,couple_with_child,21001A32-,Anderlecht,3,Secondaires
21,21001A32-,AURORE,14259,19,0,male,child,7826,1,couple_with_child,21001A32-,Anderlecht,3,Secondaires
22,21001A53-,NELLIE MELBA,17552,19,0,male,child,9548,1,couple_with_child,21001A53-,Anderlecht,3,Secondaires
23,21001A41-,ROMAIN ROLLAND,18600,19,0,male,child,10154,1,couple_with_child,21001A41-,Anderlecht,3,Secondaires
24,21001A41-,ROMAIN ROLLAND,19136,19,0,male,child,10391,1,couple_with_child,21001A41-,Anderlecht,3,Secondaires
25,21001A41-,ROMAIN ROLLAND,18583,19,0,male,child,10150,4,single_with_child,21001A41-,Anderlecht,3,Secondaires
