,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName,TripChainType
463,21004E82-,CITE MODELE,372569,16,1,female,202376,2,couple_no_child,6,Worker,21002A20-,SAINT-JULIEN,10.0
497,21005A311,CASERNE (Etterbeek),407541,17,0,male,222548,1,couple_with_child,6,Worker,21015A43-,GARE DU NORD,10.0
574,21006A323,GERMINAL II,480984,16,0,male,263198,1,couple_with_child,6,Worker,21006A24-,IEDER ZIJN HUIS - ZAVENTEM,10.0
706,21011A02-,JACQUET (RUE DE),667190,16,0,male,367286,2,couple_no_child,6,Worker,21017A021,DREVE DES EQUIPAGES,10.0
1615,21001A72-,OSSEGEM,82239,18,0,male,44241,3,single,6,Worker,21018A87-,SAINT-LUC,10.0
1705,21003A11-,CITE MODERNE,181999,18,0,male,96048,1,couple_with_child,6,Worker,21016A80-,VANDERKINDERE,10.0
1947,21005A02-,CHAMP DU ROI (RUE),393525,18,1,female,214257,1,couple_with_child,6,Worker,21004C62-,BOENDAAL-OUEST,10.0
2103,21009A52-,GRAY (RUE),556336,18,1,female,306102,3,single,6,Worker,21012A552,PFEIFFER,10.0
2120,21009A2MJ,CAMPUS UNIVERSITAIRE,557971,18,1,female,307518,3,single,6,Worker,21016A05-,LE CHAT,10.0
2212,21011A02-,JACQUET (RUE DE),667129,18,0,male,367268,1,couple_with_child,6,Worker,21007A01-,CURE D'ARS,10.0
2353,21013A211,FONTAINAS,810394,18,0,male,442539,3,single,6,Worker,21007A03-,FOYER FORESTOIS - FAMILLE,10.0
2397,21015A77-,R.T.B.,864663,18,1,female,472860,3,single,6,Worker,21015A36-,CAMBIER (AVENUE E.),10.0
2447,21015A40-,BRABANT (RUE DE),952726,18,1,female,517808,3,single,6,Worker,21019A34-,EUROPE (QUARTIER DE L'),10.0
2612,21018A643,DEUX MAISONS,1156766,18,0,male,628339,1,couple_with_child,6,Worker,21017A041,DREVE DU DUC,10.0
2652,21018A3MJ,GULLEDELLE,1177003,18,0,male,640475,3,single,6,Worker,21009A542,EGLISE ANGLICANE,10.0
