,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName,TripChainType
6,21001A83-,PETERBOS,6,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A83-,PETERBOS,19.0
18,21001A32-,AURORE,18,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A32-,AURORE,19.0
57,21001B3MJ,PETITE ILE - RIVE DROITE,57,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,19.0
72,21001A552,TREFLE,72,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A552,TREFLE,19.0
100,21001A82-,MOORTEBEEK,100,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A82-,MOORTEBEEK,19.0
120,21001C581,CIMETIERE,120,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C581,CIMETIERE,19.0
122,21001C522,HOPITAL U.L.B.,122,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,19.0
170,21001A132,RAUTER-NORD,170,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A132,RAUTER-NORD,19.0
173,21001B25-,REVISION-NORD,173,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B25-,REVISION-NORD,19.0
195,21001A911,SCHEUT-EST,195,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A911,SCHEUT-EST,19.0
217,21001B241,REVISION-SUD,217,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B241,REVISION-SUD,19.0
281,21004B411,DEUX EGLISES (RUE DES),281,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004B411,DEUX EGLISES (RUE DES),19.0
296,21004F511,AVENUE DES PAGODES,296,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004F511,AVENUE DES PAGODES,19.0
298,21004F511,AVENUE DES PAGODES,298,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004F511,AVENUE DES PAGODES,19.0
302,21004F511,AVENUE DES PAGODES,302,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004F511,AVENUE DES PAGODES,19.0
308,21004F511,AVENUE DES PAGODES,308,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004F511,AVENUE DES PAGODES,19.0
316,21004C62-,BOENDAAL-OUEST,316,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004C62-,BOENDAAL-OUEST,19.0
319,21004C62-,BOENDAAL-OUEST,319,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004C62-,BOENDAAL-OUEST,19.0
322,21004C62-,BOENDAAL-OUEST,322,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004C62-,BOENDAAL-OUEST,19.0
357,21004G310,HAREN-SUD-OUEST,357,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004G310,HAREN-SUD-OUEST,19.0
360,21004G310,HAREN-SUD-OUEST,360,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004G310,HAREN-SUD-OUEST,19.0
