,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName,TripChainType
132,21001B332,GOUJONS,113018,17,1,female,59721,2,couple_no_child,6,Worker,21015A45-,STEPHENSON (PLACE),9.0
152,21001A02-,WAYEZ,122526,17,1,female,64574,1,couple_with_child,6,Worker,21015A35-,JEAN STOBBAERTS (AVENUE),9.0
176,21002A10-,TRANSVAAL,156012,16,1,female,82584,4,single_with_child,6,Worker,21001A031,RAUTER-SUD,9.0
186,21003A0AJ,HUNDERENVELD,169634,17,0,male,89897,1,couple_with_child,6,Worker,21016A102,GROESELENBERG,9.0
374,21004A21-,ANNEESSENS (PLACE),298289,17,1,female,162552,1,couple_with_child,6,Worker,21017A635,PRINCES BRABANCONS,9.0
407,21004E72-,MAISON ROUGE (PLACE)-SUD,339617,16,1,female,184769,1,couple_with_child,6,Worker,21012A21-,MARIE-JOSE BLOCS,9.0
618,21009A13-,GACHARD,526605,17,1,female,288124,4,single_with_child,6,Worker,21015A45-,STEPHENSON (PLACE),9.0
644,21009A83-,L. ERNOTTE (RUE),553282,16,1,female,304627,4,single_with_child,6,Worker,21004A02-,SAINT-FRANCOIS XAVIER,9.0
772,21012A60-,LAEKENVELD,708602,17,1,female,386686,4,single_with_child,6,Worker,21004C501,LOUISE (AVENUE)-NORD,9.0
944,21013A22-,REGIES,806930,16,1,female,440295,1,couple_with_child,6,Worker,21015A03-,JOSAPHAT (RUE),9.0
1003,21015A34-,PAQUERETTES (RUE),877126,16,1,female,479819,1,couple_with_child,6,Worker,21015A231,J. BLOCKX (RUE),9.0
1066,21015A44-,REINE (AVENUE),959405,16,0,male,520690,4,single_with_child,6,Worker,21009A73-,BERCKENDAEL,9.0
1083,21015A00-,COLIGNON (PLACE),974918,16,1,female,527965,1,couple_with_child,6,Worker,21019A242,VENELLES,9.0
1207,21017A12-,LE LOGIS-NORD,1107285,16,1,female,600496,4,single_with_child,6,Worker,21001A51-,SCHERDEMAEL,9.0
1237,21018A62-,HEYDENBERG-OUEST,1150081,17,0,male,624458,1,couple_with_child,6,Worker,21004G3NJ,HAREN-SUD,9.0
1239,21018A24-,LAMBEAU (AVENUE),1152805,16,0,male,625993,1,couple_with_child,6,Worker,21009A111,WERY (RUE),9.0
1419,21004A70-,BLAES (RUE)-SUD,255040,17,0,male,137220,5,colloc,6,Worker,21004D6MJ,QUAI DES USINES - MONNOYER,9.0
1529,21015A13-,PORTAELS (RUE),983004,16,1,female,532421,5,colloc,6,Worker,21019A30-,EGLANTINES (AVENUE),9.0
1548,21001A472,STADE COMMUNAL - INDUSTRIE,3523,18,1,female,1721,3,single,6,Worker,21019A02-,CLOS DU SOLEIL,9.0
1640,21001B10-,ROSEE-EST,109759,18,1,female,58059,1,couple_with_child,6,Worker,21012A141,INDEPENDANCE,9.0
1677,21002A21-,LEBON,147053,18,0,male,77871,3,single,6,Worker,21019A03-,CAPITAINE PIRET (AVENUE),9.0
1728,21004B2WJ,RUE DE PASCAL - ST.-SACREMENT,209377,18,1,female,110779,3,single,6,Worker,21012A30-,METTEWIE - IDYLLE,9.0
1783,21004A70-,BLAES (RUE)-SUD,254140,18,1,female,136432,3,single,6,Worker,21009A02-,MUSEE,9.0
2024,21006A414,P. DUPONT (RUE),465705,18,0,male,255227,1,couple_with_child,6,Worker,21015A021,HOUFFALIZE (PLACE),9.0
2034,21006A25-,GIBET,468551,18,0,male,256956,4,single_with_child,6,Worker,21018A35-,HOF TEN BERG-NORD,9.0
2091,21009A41-,SAINT-GEORGES,552185,18,0,male,304084,3,single,6,Worker,21001A37-,ZUEN - INDUSTRIE,9.0
2183,21009A451,CHATELAIN (PLACE DU)-EST,593008,18,0,male,329999,3,single,6,Worker,21010A00-,CENTRE,9.0
2225,21012A041,QUATRE VENTS,688557,18,0,male,378560,2,couple_no_child,6,Worker,21017A08-,SOUVERAIN-EST,9.0
2367,21014A41-,BOSSUET,838808,18,1,female,458992,1,couple_with_child,6,Worker,21017A021,DREVE DES EQUIPAGES,9.0
2488,21015A22-,MARBOTIN A. (RUE),986154,18,1,female,533787,3,single,6,Worker,21002A422,AVENUE IS.GERARD,9.0
2617,21018A41-,EUROPE,1163981,18,1,female,632694,2,couple_no_child,6,Worker,21018A512,QUARTIER DES PEINTRES,9.0
2672,21019A04-,EGGERICX (RUE),1188794,18,1,female,646995,1,couple_with_child,6,Worker,21017A534,RUE DES BEGONIAS,9.0
2751,21002A10-,TRANSVAAL,155972,19,1,female,82556,4,single_with_child,6,Worker,21001A07-,BIRMINGHAM,9.0
2765,21004F930,COIN DES CERISES,207281,18,1,female,109563,4,single_with_child,6,Worker,21015A71-,JARDINS,9.0
2875,21012A041,QUATRE VENTS,688604,19,1,female,378576,4,single_with_child,6,Worker,21008A20-,CHARLES-QUINT,9.0
2915,21013A201,ANGLETERRE (RUE D'),795717,18,1,female,433959,4,single_with_child,6,Worker,21014A04-,HAECHT (CHAUSSEE DE),9.0
2921,21014A10-,SAINT-FRANCOIS,841609,19,1,female,460434,4,single_with_child,6,Worker,21004F930,COIN DES CERISES,9.0
