,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName,TripChainType
47,21001C71-,BON AIR - CITE JARDIN,37288,17,0,male,20304,1,couple_with_child,6,Worker,21016A701,MERLO,4.0
99,21001A011,KLEINMOLEN,85005,16,1,female,45456,4,single_with_child,6,Worker,21012A141,INDEPENDANCE,4.0
109,21001B17-,ABATTOIR,87018,17,1,female,46511,1,couple_with_child,6,Worker,21016A01-,DIEWEG,4.0
146,21001B241,REVISION-SUD,114774,17,0,male,60540,1,couple_with_child,6,Worker,21010A182,DIELEGEM (BOIS DE),4.0
190,21003A011,MOLENBERG,176565,17,0,male,93413,1,couple_with_child,6,Worker,21016A72-,MELKRIEK,4.0
295,21004A70-,BLAES (RUE)-SUD,255307,16,1,female,135650,4,single_with_child,6,Worker,21013A623,FRANCE (RUE DE),4.0
322,21004A04-,NOTRE-DAME DE LA CHAPELLE,273414,16,0,male,149269,4,single_with_child,6,Worker,21007A552,REINE MARIE-HENRIETTE,4.0
332,21004A16-,PALAIS JUSTICE-HOP. ST.-PIERRE,276087,17,0,male,151100,4,single_with_child,6,Worker,21016A64-,MOLENSTEEN,4.0
340,21004A16-,PALAIS JUSTICE-HOP. ST.-PIERRE,276337,16,1,female,150058,1,couple_with_child,6,Worker,21010A03-,MIROIR,4.0
383,21004E70-,MARIE-CHRISTINE (RUE),303916,16,0,male,167763,2,couple_no_child,6,Worker,21014A03-,MADOU,4.0
438,21004E14-,ECOLE DES CADETS,365960,16,0,male,198885,2,couple_no_child,6,Worker,21007A01-,CURE D'ARS,4.0
461,21004E82-,CITE MODELE,372567,16,1,female,202375,1,couple_with_child,6,Worker,21010A21-,MADELEINE,4.0
507,21005A031,MAELBEEK,413330,17,0,male,225897,1,couple_with_child,6,Worker,21002A25-,WATERMAEL (CHAUSSEE DE),4.0
528,21006A02-,IEDER ZIJN HUIS - STROOBANTS,441469,17,1,female,242459,1,couple_with_child,6,Worker,21004C65-,VIVIER D'OIE,4.0
550,21006A403,QUARTIER CICERO,446382,16,1,female,245012,1,couple_with_child,6,Worker,21001A041,VEEWEYDE-SUD,4.0
552,21006A474,COMMUNAUTES,447696,16,1,female,245745,4,single_with_child,6,Worker,21009A01-,BLYCKAERTS,4.0
566,21006A25-,GIBET,469103,16,0,male,257199,2,couple_no_child,6,Worker,21005A21-,PORTE DE TERVUEREN - BRAFFORT,4.0
614,21007A071,BOLLINCKX,513850,16,1,female,280717,1,couple_with_child,6,Worker,21004A822,RUE DES COMMERCANTS,4.0
712,21012A172,GARE OUEST,686791,16,1,female,377768,1,couple_with_child,6,Worker,21012A63-,DUBRUCQ-NORD,4.0
721,21012A041,QUATRE VENTS,688929,17,0,male,378839,4,single_with_child,6,Worker,21015A71-,JARDINS,4.0
781,21012A62-,LIBERATEURS,715335,16,0,male,391489,1,couple_with_child,6,Worker,21018A62-,HEYDENBERG-OUEST,4.0
842,21012A21-,MARIE-JOSE BLOCS,740056,16,1,female,404421,4,single_with_child,6,Worker,21007A61-,MONTENEGRO (RUE),4.0
860,21012A152,ETANGS NOIRS,745608,16,0,male,407173,4,single_with_child,6,Worker,21011A30-,ARCHERS - FOUREZ,4.0
882,21012A141,INDEPENDANCE,767699,16,0,male,417977,1,couple_with_child,6,Worker,21003A00-,CENTRE,4.0
887,21012A03-,RANSFORT,769067,17,1,female,419340,4,single_with_child,6,Worker,21008A220,VILLAS DE GANSHOREN (OUEST),4.0
952,21013A211,FONTAINAS,810081,16,1,female,442226,4,single_with_child,6,Worker,21012A882,DARING,4.0
968,21014A10-,SAINT-FRANCOIS,842433,16,1,female,460328,4,single_with_child,6,Worker,21007A142,MONTE CARLO,4.0
972,21014A12-,SAINT-LAZARE,844391,17,1,female,462116,1,couple_with_child,6,Worker,21001B11-,ROSEE-OUEST,4.0
984,21014A05-,HOUWAERT,854796,17,1,female,466956,1,couple_with_child,6,Worker,21004A35-,AD. MAX (BOULEVARD),4.0
1008,21015A021,HOUFFALIZE (PLACE),894320,17,1,female,487188,4,single_with_child,6,Worker,21004E14-,ECOLE DES CADETS,4.0
1043,21015A40-,BRABANT (RUE DE),952747,17,0,male,517815,2,couple_no_child,6,Worker,21004E12-,PRINCE LEOPOLD (SQUARE),4.0
1055,21015A44-,REINE (AVENUE),958564,17,1,female,520687,1,couple_with_child,6,Worker,21009A802,BOONDAEL-SUD,4.0
1062,21015A44-,REINE (AVENUE),959207,16,1,female,520977,4,single_with_child,6,Worker,21016A521,VERREWINKEL,4.0
1077,21015A00-,COLIGNON (PLACE),974881,17,1,female,527945,1,couple_with_child,6,Worker,21019A40-,SAINTE-ALIX,4.0
1081,21015A00-,COLIGNON (PLACE),974910,16,1,female,527961,1,couple_with_child,6,Worker,21003A04-,L. DE SMET,4.0
1109,21015A21-,GUIDO GEZELLE (RUE),997108,16,0,male,539132,4,single_with_child,6,Worker,21009A593,QUARTIER LEOPOLD,4.0
1125,21016A85-,BRUGMANN,1016851,16,1,female,550634,2,couple_no_child,6,Worker,21016A01-,DIEWEG,4.0
1129,21016A03-,COGHEN,1020596,16,0,male,552652,2,couple_no_child,6,Worker,21012A25-,BEEKKANT,4.0
1133,21016A912,GLOBE-OUEST,1027489,17,1,female,556546,4,single_with_child,6,Worker,21012A39-,DE RAEDT,4.0
1197,21017A523,MARTIN-PECHEUR,1099753,17,0,male,596194,1,couple_with_child,6,Worker,21007A75-,TOURNOI (RUE DU),4.0
1206,21017A12-,LE LOGIS-NORD,1107282,16,1,female,600493,4,single_with_child,6,Worker,21004A01-,VIEILLE HALLE AUX BLES,4.0
1220,21018A35-,HOF TEN BERG-NORD,1125610,17,0,male,611070,4,single_with_child,6,Worker,21004A02-,SAINT-FRANCOIS XAVIER,4.0
1283,21018A12-,STOCKEL (CHAUSSEE DE),1170450,16,1,female,636221,1,couple_with_child,6,Worker,21001A350,CERIA - ZONE D'HABITAT,4.0
1286,21018A87-,SAINT-LUC,1172711,17,0,male,637978,2,couple_no_child,6,Worker,21001A34-,ROUE - CITE JARDIN,4.0
1323,21019A34-,EUROPE (QUARTIER DE L'),1194853,17,0,male,650254,1,couple_with_child,6,Worker,21004A13-,PETIT SABLON,4.0
1334,21019A11-,MILLE METRES (AVENUE),1199792,17,0,male,652894,1,couple_with_child,6,Worker,21014A02-,CHARITE,4.0
1341,21019A31-,BEMEL,1201195,16,0,male,653677,2,couple_no_child,6,Worker,21004F94-,VAL MARIA,4.0
1433,21004A21-,ANNEESSENS (PLACE),297842,17,1,female,164790,5,colloc,6,Worker,21012A511,STEYNS,4.0
1435,21004E70-,MARIE-CHRISTINE (RUE),304989,16,0,male,168469,5,colloc,6,Worker,21007A04-,FOYER FORESTOIS - MADELON,4.0
1479,21012A21-,MARIE-JOSE BLOCS,740222,16,1,female,404537,5,colloc,6,Worker,21002A11-,SACRE-COEUR,4.0
1483,21012A152,ETANGS NOIRS,745825,16,0,male,407223,5,colloc,6,Worker,21004A13-,PETIT SABLON,4.0
1486,21012A03-,RANSFORT,769305,16,0,male,419493,5,colloc,6,Worker,21001A30-,BIZET,4.0
1496,21013A211,FONTAINAS,810579,17,0,male,442581,5,colloc,6,Worker,21007A72-,MOLIERE,4.0
