,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName,TripChainType
2,21001A041,VEEWEYDE-SUD,2,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A041,VEEWEYDE-SUD,20.0
12,21001A331,WALCOURT,12,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A331,WALCOURT,20.0
47,21001B3MJ,PETITE ILE - RIVE DROITE,47,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,20.0
55,21001B3MJ,PETITE ILE - RIVE DROITE,55,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,20.0
65,21001A42-,KAT,65,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A42-,KAT,20.0
81,21001A34-,ROUE - CITE JARDIN,81,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A34-,ROUE - CITE JARDIN,20.0
104,21001C611,SOETKIN,104,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,20.0
107,21001C611,SOETKIN,107,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,20.0
129,21001C522,HOPITAL U.L.B.,129,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C522,HOPITAL U.L.B.,20.0
154,21001B20-,CONSEIL-NORD,154,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B20-,CONSEIL-NORD,20.0
205,21001A92-,JAKOB SMITS,205,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A92-,JAKOB SMITS,20.0
241,21004B421,MARIE-LOUISE (SQUARE),241,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004B421,MARIE-LOUISE (SQUARE),20.0
279,21004B411,DEUX EGLISES (RUE DES),279,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004B411,DEUX EGLISES (RUE DES),20.0
