,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName,TripChainType
32,21001A32-,AURORE,16391,17,1,female,8707,4,single_with_child,6,Worker,21015A36-,CAMBIER (AVENUE E.),11.0
53,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51245,17,1,female,28163,1,couple_with_child,6,Worker,21001A81-,BROECK,11.0
94,21001B25-,REVISION-NORD,77241,16,1,female,41326,4,single_with_child,6,Worker,21019A001,CENTRE,11.0
232,21004F930,COIN DES CERISES,207796,17,0,male,109442,4,single_with_child,6,Worker,21001B20-,CONSEIL-NORD,11.0
233,21004F930,COIN DES CERISES,207797,17,0,male,109545,1,couple_with_child,6,Worker,21004E193,N.D. DE LAEKEN,11.0
338,21004A16-,PALAIS JUSTICE-HOP. ST.-PIERRE,276334,17,1,female,151096,4,single_with_child,6,Worker,21004C552,LOUISE (AVENUE)-SUD,11.0
396,21004E74-,EM. DELVA (RUE),312526,16,1,female,171581,1,couple_with_child,6,Worker,21007A79-,PARC DUDEN,11.0
423,21004D6NJ,TOUR ET TAXIS,354260,17,0,male,192623,2,couple_no_child,6,Worker,21019A15-,KAPELLEVELD,11.0
467,21004E222,MUTSAARD (AVENUE),375985,16,0,male,204484,1,couple_with_child,6,Worker,21014A01-,STEURS,11.0
512,21005A00-,HOTEL COMMUNAL,425283,16,0,male,232602,2,couple_no_child,6,Worker,21015A101,GARE,11.0
609,21007A071,BOLLINCKX,513844,17,0,male,280713,1,couple_with_child,6,Worker,21003A2MJ,GARE,11.0
610,21007A071,BOLLINCKX,513845,17,1,female,280714,1,couple_with_child,6,Worker,21007A03-,FOYER FORESTOIS - FAMILLE,11.0
646,21009A52-,GRAY (RUE),556980,17,0,male,306732,4,single_with_child,6,Worker,21005A042,PH. BAUCQ (RUE),11.0
786,21012A511,STEYNS,719509,16,1,female,393840,1,couple_with_child,6,Worker,21012A811,MYRTES-NORD,11.0
807,21012A54-,DELHAIZE,730257,16,1,female,399142,4,single_with_child,6,Worker,21012A011,CANAL-SUD,11.0
1106,21015A21-,GUIDO GEZELLE (RUE),996802,16,0,male,538899,1,couple_with_child,6,Worker,21016A225,PTOLEMEE,11.0
1178,21016A490,KAUWBERG,1078975,17,1,female,584566,1,couple_with_child,6,Worker,21018A83-,KLAKKEDELLE,11.0
1343,21019A32-,CHANT D'OISEAU,1204090,16,0,male,655118,1,couple_with_child,6,Worker,21015A831,LATINIS (AVENUE G.),11.0
1928,21004E81-,DISQUE (RUE DU),377698,18,0,male,205522,2,couple_no_child,6,Worker,21001B23-,CONSEIL-SUD,11.0
1983,21005A12-,SAINT-ANTOINE,431764,18,1,female,236249,3,single,6,Worker,21010A312,BAECK DUPRE,11.0
2192,21010A141,BRUGMANN,634027,18,0,male,350866,1,couple_with_child,6,Worker,21007A101,BOURGOGNE,11.0
2386,21014A05-,HOUWAERT,854801,18,0,male,466958,2,couple_no_child,6,Worker,21009A041,ARBRE BENIT,11.0
2399,21015A77-,R.T.B.,865260,18,0,male,473455,3,single,6,Worker,21019A51-,COLLEGE SAINT-MICHEL,11.0
2562,21017A11-,FLOREAL,1092079,18,0,male,591715,1,couple_with_child,6,Worker,21008A10-,PLATEAU,11.0
2598,21018A031,ABELOOS,1136507,18,0,male,617341,4,single_with_child,6,Worker,21014A10-,SAINT-FRANCOIS,11.0
2656,21018A3MJ,GULLEDELLE,1175520,18,0,male,639604,1,couple_with_child,6,Worker,21013A23-,ROI (AVENUE DU),11.0
2726,21001B25-,REVISION-NORD,77771,19,0,male,41829,4,single_with_child,6,Worker,21015A41-,VANDERLINDEN (RUE),11.0
2840,21006A101,CONSCIENCE,459636,20,1,female,251881,4,single_with_child,6,Worker,21014A02-,CHARITE,11.0
2885,21012A60-,LAEKENVELD,707722,18,1,female,387846,4,single_with_child,6,Worker,21008A240,REFORME,11.0
2911,21013A422,CRICKX (RUE),785632,18,1,female,428295,4,single_with_child,6,Worker,21001A34-,ROUE - CITE JARDIN,11.0
2978,21017A220,LE LOGIS-SUD,1095408,18,1,female,593577,4,single_with_child,6,Worker,21010A21-,MADELEINE,11.0
3318,21001A83-,PETERBOS,4487,37,1,female,2401,1,couple_with_child,6,Worker,21009A34-,STADE COMMUNAL,11.0
3344,21001A83-,PETERBOS,4567,57,1,female,2440,4,single_with_child,6,Worker,21004A32-,CONGRES - GARE,11.0
3347,21001A83-,PETERBOS,4575,34,0,male,2442,1,couple_with_child,6,Worker,21004E70-,MARIE-CHRISTINE (RUE),11.0
3457,21001A83-,PETERBOS,5003,48,1,female,2638,4,single_with_child,6,Worker,21007A082,BEMPT,11.0
3602,21001A83-,PETERBOS,5627,36,1,female,2902,4,single_with_child,6,Worker,21011A01-,SAINTE-ANNE,11.0
3626,21001A83-,PETERBOS,5728,39,0,male,2948,1,couple_with_child,6,Worker,21007A142,MONTE CARLO,11.0
3852,21001A503,VIVES,8730,45,0,male,4774,3,single,6,Worker,21007A50-,BERANGER,11.0
3858,21001A503,VIVES,8765,37,0,male,4809,3,single,6,Worker,21002A041,VIGNETTE,11.0
3925,21001A32-,AURORE,13246,63,0,male,7356,1,couple_with_child,6,Worker,21015A50-,OPALE,11.0
