,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName,TripChainType
46,21001B3MJ,PETITE ILE - RIVE DROITE,46,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,26.0
90,21001C512,CHANTS D'OISEAUX,90,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C512,CHANTS D'OISEAUX,26.0
150,21001B22-,BROGNIEZ-SUD,150,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B22-,BROGNIEZ-SUD,26.0
152,21001B321,ALBERT I- QUARTIER,152,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B321,ALBERT I- QUARTIER,26.0
165,21001A982,PARC FORESTIER,165,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A982,PARC FORESTIER,26.0
263,21004B421,MARIE-LOUISE (SQUARE),263,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004B421,MARIE-LOUISE (SQUARE),26.0
465,21004D6MJ,QUAI DES USINES - MONNOYER,465,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004D6MJ,QUAI DES USINES - MONNOYER,26.0
513,21004D6MJ,QUAI DES USINES - MONNOYER,513,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004D6MJ,QUAI DES USINES - MONNOYER,26.0
890,21004G371,GARE DE FORMATION,890,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004G371,GARE DE FORMATION,26.0
1046,21004G371,GARE DE FORMATION,1046,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004G371,GARE DE FORMATION,26.0
1169,21004G30-,SAINTE-ELISABETH,1169,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004G30-,SAINTE-ELISABETH,26.0
1279,21004B45-,ECOLE MILITAIRE,1279,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004B45-,ECOLE MILITAIRE,26.0
1316,21004B49-,CINQUANTENAIRE (PARC DU),1316,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004B49-,CINQUANTENAIRE (PARC DU),26.0
