,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21004F970,MARLY-NORD,0,Useless for non resident but 17,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
1,21004F970,MARLY-NORD,1,Useless for non resident but 17,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
2,21004F970,MARLY-NORD,2,Useless for non resident but 17,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
3,21004F970,MARLY-NORD,3,Useless for non resident but 17,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
4,21004F970,MARLY-NORD,4,Useless for non resident but 17,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
5,21004F970,MARLY-NORD,5,Useless for non resident but 18,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
6,21004F970,MARLY-NORD,6,Useless for non resident but 18,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
7,21004F970,MARLY-NORD,7,Useless for non resident but 18,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
8,21004F970,MARLY-NORD,8,Useless for non resident but 18,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
9,21004F970,MARLY-NORD,9,Useless for non resident but 18,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
10,21004F970,MARLY-NORD,10,Useless for non resident but 18,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
11,21004F970,MARLY-NORD,11,Useless for non resident but 18,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
12,21004F970,MARLY-NORD,12,Useless for non resident but 18,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
13,21004F970,MARLY-NORD,13,Useless for non resident but 18,Useless for non resident but female,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
