,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkerID.1,WorkerType.1,Unnamed: 0.1.1,Name,Commune_x,Commune_y,Quartier,WorkSectorStatID,WorkSectorStatName,WorkCommuneName
0,76957.0,21001B25-,REVISION-NORD,76957,12,0,male,child,42284,1,couple_with_child,3.0,Secondaires,,,,REVISION-NORD,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
1,115568.0,21001B332,GOUJONS,115568,14,1,female,parent,61817,1,couple_with_child,3.0,Secondaires,,,,GOUJONS,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
2,77653.0,21001B25-,REVISION-NORD,77653,12,0,male,child,42527,1,couple_with_child,3.0,Secondaires,,,,REVISION-NORD,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
3,76069.0,21001B31-,ALBERT I- IMMEUBLES,76069,13,1,female,parent,41508,1,couple_with_child,3.0,Secondaires,,,,ALBERT I- IMMEUBLES,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
4,76072.0,21001B31-,ALBERT I- IMMEUBLES,76072,12,1,female,parent,41510,1,couple_with_child,3.0,Secondaires,,,,ALBERT I- IMMEUBLES,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
5,57186.0,21001B321,ALBERT I- QUARTIER,57186,14,0,male,child,31838,4,single_with_child,3.0,Secondaires,,,,ALBERT I- QUARTIER,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
6,115009.0,21001B332,GOUJONS,115009,13,1,female,child,61966,4,single_with_child,3.0,Secondaires,,,,GOUJONS,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
7,116763.0,21001B241,REVISION-SUD,116763,12,0,male,child,62848,4,single_with_child,3.0,Secondaires,,,,REVISION-SUD,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
8,117632.0,21001B241,REVISION-SUD,117632,15,1,female,parent,62710,1,couple_with_child,3.0,Secondaires,,,,REVISION-SUD,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
9,57194.0,21001B321,ALBERT I- QUARTIER,57194,15,0,male,child,31840,1,couple_with_child,3.0,Secondaires,,,,ALBERT I- QUARTIER,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
10,117634.0,21001B241,REVISION-SUD,117634,13,1,female,parent,62787,1,couple_with_child,3.0,Secondaires,,,,REVISION-SUD,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
11,76399.0,21001B25-,REVISION-NORD,76399,15,1,female,child,42100,1,couple_with_child,3.0,Secondaires,,,,REVISION-NORD,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
12,,21001B25-,REVISION-NORD,77606,16,0,male,child,42515,4,single_with_child,3.0,Secondaires,,,77606.0,REVISION-NORD,Anderlecht,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
