,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code,Commune,WorkerID,WorkerType
0,922,21001A041,VEEWEYDE-SUD,922,18,0,male,child,427,1,couple_with_child,,,21001A041,Anderlecht,3,Secondaires
1,628,21001A041,VEEWEYDE-SUD,628,18,0,male,child,311,1,couple_with_child,,,21001A041,Anderlecht,3,Secondaires
2,784,21001A041,VEEWEYDE-SUD,784,18,0,male,child,371,1,couple_with_child,,,21001A041,Anderlecht,3,Secondaires
3,819,21001A041,VEEWEYDE-SUD,819,18,0,male,child,388,1,couple_with_child,,,21001A041,Anderlecht,3,Secondaires
4,925,21001A041,VEEWEYDE-SUD,925,18,0,male,child,428,1,couple_with_child,,,21001A041,Anderlecht,3,Secondaires
5,602,21001A041,VEEWEYDE-SUD,602,18,0,male,child,299,1,couple_with_child,,,21001A041,Anderlecht,3,Secondaires
6,3041,21001A472,STADE COMMUNAL - INDUSTRIE,3041,18,0,male,child,1539,1,couple_with_child,,,21001A472,Anderlecht,3,Secondaires
7,3005,21001A472,STADE COMMUNAL - INDUSTRIE,3005,18,0,male,child,1526,1,couple_with_child,,,21001A472,Anderlecht,3,Secondaires
8,4770,21001A83-,PETERBOS,4770,18,0,male,child,2537,1,couple_with_child,,,21001A83-,Anderlecht,3,Secondaires
9,4877,21001A83-,PETERBOS,4877,18,0,male,child,2583,4,single_with_child,,,21001A83-,Anderlecht,3,Secondaires
10,4982,21001A83-,PETERBOS,4982,18,0,male,child,2630,4,single_with_child,,,21001A83-,Anderlecht,3,Secondaires
11,5149,21001A83-,PETERBOS,5149,18,0,male,child,2700,4,single_with_child,,,21001A83-,Anderlecht,3,Secondaires
12,4326,21001A83-,PETERBOS,4326,18,0,male,child,2338,1,couple_with_child,,,21001A83-,Anderlecht,3,Secondaires
13,4562,21001A83-,PETERBOS,4562,18,0,male,child,2447,4,single_with_child,,,21001A83-,Anderlecht,3,Secondaires
14,7809,21001A503,VIVES,7809,18,0,male,child,4307,1,couple_with_child,,,21001A503,Anderlecht,3,Secondaires
15,8029,21001A503,VIVES,8029,18,0,male,child,4418,4,single_with_child,,,21001A503,Anderlecht,3,Secondaires
16,7722,21001A503,VIVES,7722,18,0,male,child,4268,4,single_with_child,,,21001A503,Anderlecht,3,Secondaires
17,9625,21001A332,ROUE,9625,18,0,male,child,5339,4,single_with_child,,,21001A332,Anderlecht,3,Secondaires
18,9665,21001A332,ROUE,9665,18,0,male,child,5353,1,couple_with_child,,,21001A332,Anderlecht,3,Secondaires
19,9658,21001A332,ROUE,9658,18,0,male,child,5351,4,single_with_child,,,21001A332,Anderlecht,3,Secondaires
20,10988,21001A43-,VAN BEETHOVEN,10988,18,0,male,child,6109,4,single_with_child,,,21001A43-,Anderlecht,3,Secondaires
21,12346,21001A401,ARBORETUM,12346,18,0,male,child,6876,4,single_with_child,,,21001A401,Anderlecht,3,Secondaires
22,14204,21001A32-,AURORE,14204,18,0,male,child,7920,1,couple_with_child,,,21001A32-,Anderlecht,3,Secondaires
23,14408,21001A32-,AURORE,14408,18,0,male,child,8010,4,single_with_child,,,21001A32-,Anderlecht,3,Secondaires
